"Clust","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Lat.100","Long.100","x","y"
"S.1047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.2718708121319,-4.45278720105806,252200.001080967,822800.001905545
"S.1048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.3786672704016,-4.45991704458582,252200.001080502,834700.00192934
"S.1049",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.2586346575161,-4.44029932412005,252900.001079468,821300.00187049
"S.105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,57.32535105,-4.776325624,232940.0011142,829500.002952503
"S.1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.2586668208193,-4.43864321154308,253000.00107925,821300.001865971
"S.1051",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,57.2882832606698,-4.44060304297544,253000.001079115,824600.001872375
"S.1052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.5701764934788,-4.45443220803792,253300.001077073,856000.00192034
"S.1053",NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,57.5710739088264,-4.45449264379042,253300.001077069,856100.001920549
"S.1054",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5137037444416,-4.44729667460522,253500.001076916,849700.001898606
"S.1055",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.2692540475611,-4.43022044273578,253550.001078016,822460.001843591
"S.1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.5128386610672,-4.4455689459726,253600.001076699,849600.001893817
"S.1057",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.4168449355673,-4.43749706182161,253700.001076971,838900.001868444
"S.1058",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.4176751700579,-4.43638646031307,253770.001076815,838990.001865468
"S.1059",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.8034004008383,-4.47530962025215,253000.001076532,882000.001987438
"S.106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32116519,-4.819036258,230350.001162632,829140.003526345
"S.1060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.2787956826564,-4.42006510420867,254200.001076602,823500.001817036
"S.1061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,57.3837997065454,-4.42698309828152,254200.001076069,835200.001839068
"S.1062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.2815200293545,-4.41858473172272,254300.001076381,823800.001813262
"S.1063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.6873258359449,-4.43718502777752,254800.0010731,869000.001876918
"S.1064",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.2978657568951,-4.40969800401048,254900.001075071,825600.001790848
"S.1065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.2836645517921,-4.40047261967012,255400.001074147,824000.001766871
"S.1067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.2864203073986,-4.39733319760408,255600.001073739,824300.001759095
"S.1068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.9219657869023,-4.43111638964131,256100.001068811,895100.001868532
"S.1069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.9211006799268,-4.42936921025144,256200.001068604,895000.001863876
"S.107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.3216849,-4.819906725,230300.001136273,829200.002963043
"S.1070",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.9228954439124,-4.42949048445446,256200.001068591,895200.001864259
"S.1071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,57.739922075818,-4.41216045201584,256500.001069204,874800.00181301
"S.1072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.7390566158551,-4.41042262572334,256600.001069007,874700.001808542
"S.1073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.7325826237325,-4.42007101027667,256000.001070277,874000.001833152
"S.1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.8663553352337,-4.37846612290594,259000.00106344,888800.001734381
"S.1076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,57.5513806549532,-4.35621950328473,259100.001065591,853700.001670883
"S.1077",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.5530366241708,-4.35415344908612,259230.001065352,853880.001666252
