"Clust","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"S.1087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44495725631714,NA,NA,NA,NA
"S.1088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28230810165405
"S.1089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32328462600708,NA
"S.109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22417259216309,5.28224754333496,NA,NA
"S.1091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7781093120575,NA,NA,NA,NA
"S.1092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77382135391235,NA,NA,NA,NA
"S.1093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42704916000366,3.24797586599986,NA,NA,NA,NA
"S.1094",5.57023000717163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71171736717224,3.14663362503052,NA,NA
"S.1096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34555053710938,NA,NA,NA,NA
"S.1097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34555053710938,NA,NA,NA,NA
"S.1098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71175503730774,NA,NA,NA
"S.1099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21881794929504,NA,NA,NA
"S.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75070571899414,NA,NA
"S.110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77058243751526,NA,NA,4.65909862518311,NA,NA
"S.1101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10304880142212,NA,NA,NA
"S.1103",2.16923832893372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3739607334137,NA,NA
"S.1105",NA,NA,NA,NA,NA,NA,NA,3.34003615379333,NA,NA,NA,NA,NA,NA,NA,NA
"S.1106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47227048873901,NA,NA,NA,NA
"S.1107",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.87430238723755,NA,NA,NA,NA,NA,NA
"S.1108",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.87430238723755,NA,NA,NA,NA,NA,NA
"S.1109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90233707427979,NA,0.749411106109619,NA,NA
"S.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20896601676941,NA,NA,NA,NA
"S.1111",NA,NA,NA,NA,NA,NA,NA,NA,2.25360631942749,NA,NA,NA,NA,NA,NA,NA
"S.1112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59969186782837,NA,NA,NA,NA,NA
"S.1113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61954069137573,NA,NA
"S.1114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07605361938477
