"","Area.stw","AWI","bogs","bogwoodland","conifer","deciduous","dist_conifer","dist_pine","dist_water","mire","mixedwood","moor","peat","pineforest","plantation","standingwater","dist.stw","pet_emerge","pet","tas_emerge","tas","wildness","elevation"
"274",0.031159296631813,0,0,0.0225621405988932,0.0119821541011333,0.0939451903104782,0,0,0,0,0.000764818338211626,0.00356915243901312,0,0.0212874449789524,0,0.105162523686886,0,2.66743731498718,1.12872660160065,282.712188720703,280.492767333984,55,207.953857421875
"275",0.031159296631813,0,0,0.0225621405988932,0.0119821541011333,0.0939451903104782,0,0,0,0,0.000764818338211626,0.00356915243901312,0,0.0212874449789524,0,0.105162523686886,0,2.66743731498718,1.12872660160065,282.712188720703,280.492767333984,55,207.953857421875
"276",0.0047157327644527,0.901593387126923,0,0,0,0.420395165681839,0,0,0,0,0.0282982792705297,0,50,0.474059909582138,0.00254939449951053,0.0322498418390751,120.415946960449,2.54740214347839,1.10328197479248,282.657501220703,280.589569091797,97,222.615524291992
"277",0.00196524895727634,0.0415551289916039,0,0.000892288109753281,0.187890380620956,0.0137667302042246,0,0,0,0,0.0523900575935841,0.0177182927727699,0,0.352581262588501,0.238495856523514,0,546.717468261719,2.62816071510315,1.0969649553299,282.700408935547,280.481079101562,54,224.540924072266
"278",0.00196524895727634,0.0415551289916039,0,0.000892288109753281,0.187890380620956,0.0137667302042246,0,0,0,0,0.0523900575935841,0.0177182927727699,0,0.352581262588501,0.238495856523514,0,546.717468261719,2.62816071510315,1.0969649553299,282.700408935547,280.481079101562,54,224.540924072266
"279",0.00196524895727634,0.0415551289916039,0,0.000892288109753281,0.187890380620956,0.0137667302042246,0,0,0,0,0.0523900575935841,0.0177182927727699,0,0.352581262588501,0.238495856523514,0,546.717468261719,2.62816071510315,1.0969649553299,282.700408935547,280.481079101562,54,224.540924072266
"280",0.0032191569916904,0,0.454302102327347,0,0,0,0,0,0,0,0,0.270618230104446,100,0,0,0.00458890991285443,20,2.64164137840271,1.09685182571411,281.969329833984,279.749389648438,65,324.557159423828
"281",0.000857711769640446,0.112300828099251,0.073167622089386,0,0.0284257493913174,0,0,0,0,0,0.00216698530130088,0.0156787764281034,0,0.503505408763885,0.16443595290184,0.00114722747821361,371.214233398438,2.63260364532471,1.1119099855423,282.657928466797,280.440826416016,103,224.109313964844
"282",0.0044539668597281,0.984448671340942,0,0,0.0257488843053579,0,0,0,0,0,0.781006991863251,0,0,0.104270234704018,0.0192479286342859,0.042447417974472,0,2.48937797546387,1.01147139072418,281.981750488281,279.765045166016,70,341.34228515625
"283",0.78437077999115,0.331293821334839,0,0,0.024474186822772,0.105289995670319,0,0,0,0,0.0152963669970632,0.0262587629258633,0,0.449203312397003,0.0239643082022667,0,521.536193847656,2.64268255233765,1.10740530490875,282.760681152344,280.543426513672,55,217.366271972656
"284",0.0026650158688426,0.531931161880493,0,0,0.0124920327216387,0.0321223698556423,0,0,0,0,0,0.0572339072823524,0,0.649330794811249,0.0254939459264278,0.00344168255105615,264.007568359375,2.63406753540039,1.10371494293213,282.698333740234,280.481140136719,72,221.563720703125
"285",0.00225873757153749,0.988527715206146,0,0,0.0423199497163296,0,0,0,0,0,0.806628406047821,0,0,0.0803059265017509,0.00713830487802625,0.0368387512862682,76.1577301025391,2.48937797546387,1.01147139072418,281.981750488281,279.765045166016,70,334.055999755859
"286",0.0685244351625443,0.430592745542526,0,0.207903116941452,0.0044614402577281,0.0767367780208588,0,0,0,0,0.0493307821452618,0.0829827934503555,50,0.508476734161377,0.00981516856700182,0.0512428283691406,269.072479248047,2.38997960090637,1.03055894374847,282.437591552734,280.368896484375,112,194.069366455078
"287",0.00286711612716317,0.660930514335632,0,0.00522625865414739,0.000127469727885909,0,0,0,0,0,0.00484384968876839,0.0690885931253433,0,0.655831754207611,0.0597833022475243,0.00688336510211229,330,2.63406753540039,1.10371494293213,282.698333740234,280.481140136719,91,224.535903930664
